COUNTRY_REGION,PROVINCE_STATE,ADMIN2,GEOID,DATE,SEQ_NO,DESCRIPTION,SOURCE
Italy                           ,-                               ,-                                                               ,IT        ,2020-01-31,1,Italy has announced to suspending all flights to and from China following the first 2 cases of coronavirus in Italy                                                                                     ,https://www.worldometers.info/coronavirus/                                                          
US                              ,-                               ,-                                                               ,US        ,2020-01-17,1,The CDC announced that 3 airports in the United States would begin screening incoming                                                                                                                   ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-17,2,"passengers from China: SFO, JFK, and LAX [6] Other 2 airports were added subsequently                                                                                                                   ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Washington                      ,Snowhomish                                                      ,US        ,2020-01-21,1,"Case 1th (Male, Age 30s)                                                                                                                                                                                ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Illinois                        ,Chicago                                                         ,US        ,2020-01-24,1,"Case 2nd (Female, Age 60s)                                                                                                                                                                              ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,California                      ,Orange County                                                   ,US        ,2020-01-26,1,"Case 3rd, 4th                                                                                                                                                                                           ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Arizona                         ,Maricopa County                                                 ,US        ,2020-01-26,2,Case 5th (Student)                                                                                                                                                                                      ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-28,1,United Airline had announced it would cut 24 flights between the U.S. and China for the first week of February.                                                                                         ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-28,2,"The CDC issued a Level 3 Warning, recommending that travelers avoid all nonessential travel to China                                                                                                    ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-28,3,The U.S. Department of Health and Human Services (HHS) announced that 15 additional U.S. airports (bringing                                                                                             ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-28,4,the total to 20) would begin screening incoming travelers from China. The Airports are :                                                                                                                ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-28,5,"Los Angeles, San Francisco, Chicago, New York, Atlanta, Houston, Dallas, San Diego, Seattle, Honolulu,                                                                                                  ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-28,6,"Anchorage, Minneapolis, Detroit, Miami, Washington, Philadelphia, Newark, Boston, El Paso, Puerto Rico                                                                                                  ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-29,1,"Positive 5, Negative 68, Pending(spesimens awaiting testing) 92, PUI (Patient Under Investigation) 165                                                                                                  ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-29,2,American Airline had announced it would suspend flights from Los Angeles to Shanghai and Beijing from Feb. 9                                                                                            ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-29,3,"through March 27, 2020. It will maintain its flight schedules (10 daily A/R) from Dallas-Fort Worth to                                                                                                  ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-29,4,"Shanghai and Beijing, as well as from Los Angeles and Dallas-Fort Worth to Hong Kong.                                                                                                                   ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-29,5,"The U.S. State Department issued ""Level 3: Reconsider Travel"" advising not to                                                                                                                           ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-29,6,travel to Hubei Province: (Level 4) and reconsider travel to the remainder of China (Level 3).                                                                                                          ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Illinois                        ,Chicago                                                         ,US        ,2020-01-30,1,"Case 6th (Male, Age 60s)                                                                                                                                                                                ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-30,2,CDC had confirmed the first case of person to person transmission in the U.S.: the                                                                                                                      ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-30,3,"husband of the Chicago, Illinois case who had returned from Wuhan, China on Jan. 13 and who tested                                                                                                      ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-30,4,positive for the virus on Jan. 24                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-30,5,"CDC stated that ""It is likely there will be more cases of 2019-nCoV reported in the U.S. in the                                                                                                         ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-30,6,"coming days and weeks, including more person-to-person spread.""                                                                                                                                         ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-30,7,The U.S. State Department issued a Level 4: Do Not Travel to China Alert [4] (the highest level of alert).                                                                                              ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,California                      ,Santa Clara County                                              ,US        ,2020-01-31,1,"Case 7th (Male, Adult)                                                                                                                                                                                  ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,2,"As of Jan. 31, the Wuhan coronavirus is officially a public health emergency in the United States, Alex Azar,                                                                                           ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,3,"secretary of the US Department of Health and Human Services (HHS), announced at a White House press                                                                                                     ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,4,briefing.                                                                                                                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,5,"Positive 6, Negative 114, Pending 121, PUI 241                                                                                                                                                          ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,6,U.S. Centers for Disease Control and Prevention (CDC) issued a federal quarantine                                                                                                                       ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,7,"for 14 days affecting the 195 American evacuees from Wuhan, China. Starting Sunday, Feb. 2, U.S.                                                                                                        ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,8,"citizens, permanent residents and immediate family who have visited China's Hubei province will undergo                                                                                                 ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,9,"a mandatory 14 days quarantine and, if they have visited other parts of China, they would be screened at                                                                                                ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,10,airports and asked to self-quarantine for 14 days. The last time the CDC had issued a quarantine was over                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,11,"50 years ago in the 1960s, for smallpox.                                                                                                                                                                ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,12,President Donald Trump signed an order on Jan. 31 for the U.S. to deny entry to foreign nationals                                                                                                       ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,13,"who traveled to China within the preceding two weeks, aside from the immediate family of U.S. citizens.                                                                                                 ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,New York                        ,New York City                                                   ,US        ,2020-01-31,14,New York City health officials vehemently denied the rumor regarding a coronavirus case in the city.                                                                                                    ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,15,"Delta, American and United announced they would temporarily suspend all of their                                                                                                                        ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-01-31,16,mainland China flights in response to the coronavirus outbreak                                                                                                                                          ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Massachusetts                   ,Boston                                                          ,US        ,2020-02-01,1,"Case 8th (Male, 20s)                                                                                                                                                                                    ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,New York                        ,New York City                                                   ,US        ,2020-02-01,2,City's health commissioner did report that there was a test being performed on a person under 40                                                                                                        ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,New York                        ,New York City                                                   ,US        ,2020-02-01,3,"who had returned from China, developed matching symptoms, and tested negative to the seasonal flu.                                                                                                      ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,California                      ,Santa Clara County                                              ,US        ,2020-02-02,1,Case 9th (Female)                                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,California                      ,San Benito County                                               ,US        ,2020-02-02,2,"Case 10th (Male, Age 57), Case 11th (Female, 57)                                                                                                                                                        ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,California                      ,San Benito County                                               ,US        ,2020-02-03,1,"Positive 11, Negative 167, Pending 82, PUI 260                                                                                                                                                          ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Wisconsin                       ,Madison                                                         ,US        ,2020-02-05,1,Case 12th                                                                                                                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-02-05,2,"Positive 11, Negative 206, Pending 76, PUI 293                                                                                                                                                          ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-02-07,1,"Positive 12, Negative 225, Pending 100, PUI 337                                                                                                                                                         ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,-                               ,-                                                               ,US        ,2020-02-10,1,"Positive 12, Negative 318, Pending 68, PUI 398                                                                                                                                                          ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,California                      ,Humboldt County                                                 ,US        ,2020-02-21,1,Case 13th                                                                                                                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,California                      ,Sacramento County                                               ,US        ,2020-02-21,2,Case 14th                                                                                                                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,California                      ,Northern California                                             ,US        ,2020-02-26,1,Case 15th                                                                                                                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,California                      ,Santa Clara County                                              ,US        ,2020-02-28,1,Case 16th (Age 65)                                                                                                                                                                                      ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Oregon                          ,Washington County                                               ,US        ,2020-02-29,1,Case 17th                                                                                                                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Washington                      ,-                                                               ,US        ,2020-02-29,2,"Case 18th, 19th                                                                                                                                                                                         ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Illinois                        ,-                                                               ,US        ,2020-03-01,1,Case 20th                                                                                                                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,New York                        ,New York City                                                   ,US        ,2020-03-15,1,All New York City schools will shut down immediately and stay closed for at least 1 month                                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,New York                        ,New York City                                                   ,US        ,2020-03-15,2,All hospitals will be required to cancel elective surgeries                                                                                                                                             ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Illinois                        ,-                                                               ,US        ,2020-03-15,3,All bars and restaurants to close to dine-in customers through March 30                                                                                                                                 ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Ohio                            ,-                                                               ,US        ,2020-03-15,4,All bars and restaurants will close Sunday at 9 p.m. indefinitely                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,New York                        ,-                                                               ,US        ,2020-03-15,5,"At least 3 new deaths : a 79-year-old woman, a 78-year-old man, and a 53-year-old woman with diabetes and heart disease                                                                                 ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,New Jersey                      ,-                                                               ,US        ,2020-03-15,6,Death of a female in her 50s                                                                                                                                                                            ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Oregon                          ,-                                                               ,US        ,2020-03-15,7,A 70-year-old man in Portland who had tested positive just four days ago and reportedly had other health problems                                                                                       ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Maryland                        ,Howard County                                                   ,US        ,2020-03-15,8,County Executive Calvin Ball has declared a state of emergency and announced that The Mall in Columbia and other                                                                                        ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Maryland                        ,Howard County                                                   ,US        ,2020-03-15,9,commercial gathering places will be closed for at least a week                                                                                                                                          ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,New York                        ,Schenectady County                                              ,US        ,2020-03-15,10,Declares State of Emergency                                                                                                                                                                             ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,California                      ,San Bernardino County                                           ,US        ,2020-03-15,11,"First caste, a woman who recently returned from London                                                                                                                                                  ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Florida                         ,Lee County                                                      ,US        ,2020-03-15,12,A 77-year-old is the fourth Florida resident to die                                                                                                                                                     ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Utah                            ,Salt Lake County                                                ,US        ,2020-03-15,13,First case of community spread identified                                                                                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Hawaii                          ,Maui                                                            ,US        ,2020-03-15,14,2 health care workers in Maui are now in self-isolation because they were not wearing protective equipment                                                                                              ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Hawaii                          ,Kauai                                                           ,US        ,2020-03-15,15,1 health care worker in Kauai is now in self-isolation because they were not wearing protective equipment                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,California                      ,San Luis Obispo County                                          ,US        ,2020-03-15,16,"First case, a person over the age of 65 with underlying health conditions who exhibited a fever, cough, and shortness of breath                                                                         ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Missouri                        ,-                                                               ,US        ,2020-03-15,17,"New Case, A person in their 20s who had traveled to Austria                                                                                                                                             ",https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,New Jersey                      ,-                                                               ,US        ,2020-03-15,18,An emergency room doctor is in critical condition after treating patients                                                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
US                              ,Washington                      ,-                                                               ,US        ,2020-03-15,19,An emergency room doctor is in critical condition after treating patients                                                                                                                               ,https://www.worldometers.info/coronavirus/country/us/                                               
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-29,1,6875 new cases and 821 new deaths in Spain. The country now surpasses China in number of virus cases                                                                                                    ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-15,1,1597 new cases and 98 new deaths                                                                                                                                                                        ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-16,1,1954 new cases and 48 new deaths                                                                                                                                                                        ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-17,1,1884 new cases and 191 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-18,1,2943 new cases and 105 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-19,1,3308 new cases and 193 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-20,1,3494 new cases and 262 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-21,1,3925 new cases and 288 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-22,1,3272 new cases and 391 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-23,1,6368 new cases and 539 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-24,1,6922 new cases and 680 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-25,1,7457 new cases and 656 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-26,1,8271 new cases and 718 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-27,1,7933 new cases and 773 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-28,1,7516 new cases and 844 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-30,1,7846 new cases and 913 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Spain                           ,-                               ,-                                                               ,ES        ,2020-03-31,1,7967 new cases and 748 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/spain/                                            
Italy                           ,-                               ,-                                                               ,IT        ,2020-03-15,1,3590 new cases and 368 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/italy/                                            
Italy                           ,-                               ,-                                                               ,IT        ,2020-03-16,1,3233 new cases and 349 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/italy/                                            
Italy                           ,-                               ,-                                                               ,IT        ,2020-03-17,1,3526 new cases and 345 new deaths                                                                                                                                                                       ,https://www.worldometers.info/coronavirus/country/italy/                                            
Italy                           ,-                               ,-                                                               ,IT        ,2020-03-17,2,Bergamo (Lombardy region) has run out of intensive care beds. Unions are demanding the closure of                                                                                                       ,https://www.worldometers.info/coronavirus/country/italy/                                            
