FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY,TRANSFER_IN,TRANSFER_OUT
0,-,New South Wales,Australia,2020-01-28,,,4,,,,"New South Wales, Australia",AU,AustraliaNew South Wales-43858.9583333333,,
0,-,Victoria,Australia,2020-01-28,,,1,,,,"Victoria, Australia",AU,AustraliaVictoria-43858.9583333333,,
0,-,Cambodia,Cambodia,2020-01-28,,,1,,,,Cambodia,KH,CambodiaCambodia-43858.9583333333,,
0,-,British Columbia,Canada,2020-01-28,,,1,,,,"British Columbia, Canada",CA,CanadaBritish Columbia-43858.9583333333,,
0,-,Ontario,Canada,2020-01-28,,,1,,,,"Ontario, Canada",CA,CanadaOntario-43858.9583333333,,
0,-,Anhui,China,2020-01-28,,,106,,,,"Anhui, China",CN,ChinaAnhui-43858.9583333333,,
0,-,Beijing,China,2020-01-28,,,91,1,4,,"Beijing, China",CN,ChinaBeijing-43858.9583333333,,
0,-,Chongqing,China,2020-01-28,,,132,,,,"Chongqing, China",CN,ChinaChongqing-43858.9583333333,,
0,-,Fujian,China,2020-01-28,,,80,,,,"Fujian, China",CN,ChinaFujian-43858.9583333333,,
0,-,Gansu,China,2020-01-28,,,19,,,,"Gansu, China",CN,ChinaGansu-43858.9583333333,,
0,-,Guangdong,China,2020-01-28,,,207,,4,,"Guangdong, China",CN,ChinaGuangdong-43858.9583333333,,
0,-,Guangxi,China,2020-01-28,,,51,,2,,"Guangxi, China",CN,ChinaGuangxi-43858.9583333333,,
0,-,Guizhou,China,2020-01-28,,,9,,,,"Guizhou, China",CN,ChinaGuizhou-43858.9583333333,,
0,-,Hainan,China,2020-01-28,,,40,1,,,"Hainan, China",CN,ChinaHainan-43858.9583333333,,
0,-,Hebei,China,2020-01-28,,,33,1,,,"Hebei, China",CN,ChinaHebei-43858.9583333333,,
0,-,Heilongjiang,China,2020-01-28,,,33,1,,,"Heilongjiang, China",CN,ChinaHeilongjiang-43858.9583333333,,
0,-,Henan,China,2020-01-28,,,168,1,,,"Henan, China",CN,ChinaHenan-43858.9583333333,,
0,-,Hubei,China,2020-01-28,,,3554,125,80,,"Hubei, China",CN,ChinaHubei-43858.9583333333,,
0,-,Hunan,China,2020-01-28,,,143,,,,"Hunan, China",CN,ChinaHunan-43858.9583333333,,
0,-,Inner Mongolia,China,2020-01-28,,,15,,,,"Inner Mongolia, China",CN,ChinaInner Mongolia-43858.9583333333,,
0,-,Jiangsu,China,2020-01-28,,,70,,1,,"Jiangsu, China",CN,ChinaJiangsu-43858.9583333333,,
0,-,Jiangxi,China,2020-01-28,,,109,,3,,"Jiangxi, China",CN,ChinaJiangxi-43858.9583333333,,
0,-,Jilin,China,2020-01-28,,,8,,,,"Jilin, China",CN,ChinaJilin-43858.9583333333,,
0,-,Liaoning,China,2020-01-28,,,34,,,,"Liaoning, China",CN,ChinaLiaoning-43858.9583333333,,
0,-,Ningxia,China,2020-01-28,,,11,,,,"Ningxia, China",CN,ChinaNingxia-43858.9583333333,,
0,-,Qinghai,China,2020-01-28,,,6,,,,"Qinghai, China",CN,ChinaQinghai-43858.9583333333,,
0,-,Shaanxi,China,2020-01-28,,,46,,,,"Shaanxi, China",CN,ChinaShaanxi-43858.9583333333,,
0,-,Shandong,China,2020-01-28,,,95,,,,"Shandong, China",CN,ChinaShandong-43858.9583333333,,
0,-,Shanghai,China,2020-01-28,,,66,1,4,,"Shanghai, China",CN,ChinaShanghai-43858.9583333333,,
0,-,Shanxi,China,2020-01-28,,,27,,,,"Shanxi, China",CN,ChinaShanxi-43858.9583333333,,
0,-,Sichuan,China,2020-01-28,,,90,,,,"Sichuan, China",CN,ChinaSichuan-43858.9583333333,,
0,-,Tianjin,China,2020-01-28,,,24,,,,"Tianjin, China",CN,ChinaTianjin-43858.9583333333,,
0,-,Xinjiang,China,2020-01-28,,,10,,,,"Xinjiang, China",CN,ChinaXinjiang-43858.9583333333,,
0,-,Yunnan,China,2020-01-28,,,44,,,,"Yunnan, China",CN,ChinaYunnan-43858.9583333333,,
0,-,Zhejiang,China,2020-01-28,,,173,,3,,"Zhejiang, China",CN,ChinaZhejiang-43858.9583333333,,
0,-,France,France,2020-01-28,,,4,,,,France,FR,FranceFrance-43858.9583333333,,
0,-,Bavaria,Germany,2020-01-28,,,4,,,,"Bavaria, Germany",DE,GermanyBavaria-43858.9583333333,,
0,-,Hong Kong,China,2020-01-28,,,8,,,,"Hong Kong, China",HK,ChinaHong Kong-43858.9583333333,,
0,-,Japan,Japan,2020-01-28,,,7,,1,,Japan,JP,JapanJapan-43858.9583333333,,
0,-,Macau,China,2020-01-28,,,7,,,,"Macau, China",MO,ChinaMacau-43858.9583333333,,
0,-,Malaysia,Malaysia,2020-01-28,,,4,,,,Malaysia,MY,MalaysiaMalaysia-43858.9583333333,,
0,-,Nepal,Nepal,2020-01-28,,,1,,,,Nepal,NP,NepalNepal-43858.9583333333,,
0,-,Singapore,Singapore,2020-01-28,,,7,,,,Singapore,SG,SingaporeSingapore-43858.9583333333,,
0,-,"Korea, South","Korea, South",2020-01-28,,,4,,,,"Korea, South",KR,"Korea, SouthKorea, South-43858.9583333333",,
