FIPS,Admin2,Province_State,Country_Region,Last_Update,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Combined_Key,GeoID,Record_Key
0,-,Hubei,China,2020-01-29,,,3554,125,88,,"Hubei, China",CN,ChinaHubei-43859.8125
0,-,Zhejiang,China,2020-01-29,,,296,,3,,"Zhejiang, China",CN,ChinaZhejiang-43859.8125
0,-,Guangdong,China,2020-01-29,,,277,,5,,"Guangdong, China",CN,ChinaGuangdong-43859.8125
0,-,Hunan,China,2020-01-29,,,221,,,,"Hunan, China",CN,ChinaHunan-43859.8125
0,-,Henan,China,2020-01-29,,,206,2,1,,"Henan, China",CN,ChinaHenan-43859.8125
0,-,Anhui,China,2020-01-29,,,152,,2,,"Anhui, China",CN,ChinaAnhui-43859.8125
0,-,Chongqing,China,2020-01-29,,,147,,1,,"Chongqing, China",CN,ChinaChongqing-43859.8125
0,-,Shandong,China,2020-01-29,,,130,,1,,"Shandong, China",CN,ChinaShandong-43859.8125
0,-,Beijing,China,2020-01-29,,,111,1,4,,"Beijing, China",CN,ChinaBeijing-43859.8125
0,-,Jiangxi,China,2020-01-29,,,109,,3,,"Jiangxi, China",CN,ChinaJiangxi-43859.8125
0,-,Sichuan,China,2020-01-29,,,108,1,1,,"Sichuan, China",CN,ChinaSichuan-43859.8125
0,-,Jiangsu,China,2020-01-29,,,99,,1,,"Jiangsu, China",CN,ChinaJiangsu-43859.8125
0,-,Shanghai,China,2020-01-29,,,96,1,5,,"Shanghai, China",CN,ChinaShanghai-43859.8125
0,-,Fujian,China,2020-01-29,,,84,,,,"Fujian, China",CN,ChinaFujian-43859.8125
0,-,Guangxi,China,2020-01-29,,,58,,2,,"Guangxi, China",CN,ChinaGuangxi-43859.8125
0,-,Shaanxi,China,2020-01-29,,,56,,,,"Shaanxi, China",CN,ChinaShaanxi-43859.8125
0,-,Yunnan,China,2020-01-29,,,55,,,,"Yunnan, China",CN,ChinaYunnan-43859.8125
0,-,Hebei,China,2020-01-29,,,48,1,,,"Hebei, China",CN,ChinaHebei-43859.8125
0,-,Hainan,China,2020-01-29,,,43,1,,,"Hainan, China",CN,ChinaHainan-43859.8125
0,-,Liaoning,China,2020-01-29,,,39,,1,,"Liaoning, China",CN,ChinaLiaoning-43859.8125
0,-,Heilongjiang,China,2020-01-29,,,38,1,,,"Heilongjiang, China",CN,ChinaHeilongjiang-43859.8125
0,-,Tianjin,China,2020-01-29,,,27,,,,"Tianjin, China",CN,ChinaTianjin-43859.8125
0,-,Shanxi,China,2020-01-29,,,27,,1,,"Shanxi, China",CN,ChinaShanxi-43859.8125
0,-,Gansu,China,2020-01-29,,,24,,,,"Gansu, China",CN,ChinaGansu-43859.8125
0,-,Inner Mongolia,China,2020-01-29,,,16,,,,"Inner Mongolia, China",CN,ChinaInner Mongolia-43859.8125
0,-,Xinjiang,China,2020-01-29,,,13,,,,"Xinjiang, China",CN,ChinaXinjiang-43859.8125
0,-,Ningxia,China,2020-01-29,,,12,,,,"Ningxia, China",CN,ChinaNingxia-43859.8125
0,-,Hong Kong,Hong Kong,2020-01-29,,,10,,,,"Hong Kong, Hong Kong",HK,Hong KongHong Kong-43859.8125
0,-,Guizhou,China,2020-01-29,,,9,,1,,"Guizhou, China",CN,ChinaGuizhou-43859.8125
0,-,Jilin,China,2020-01-29,,,9,,,,"Jilin, China",CN,ChinaJilin-43859.8125
0,-,Taiwan,Taiwan,2020-01-29,,,8,,,,"Taiwan, Taiwan",TW,TaiwanTaiwan-43859.8125
0,-,Macau,Macau,2020-01-29,,,7,,,,"Macau, Macau",MO,MacauMacau-43859.8125
0,-,Qinghai,China,2020-01-29,,,6,,,,"Qinghai, China",CN,ChinaQinghai-43859.8125
0,-,Washington,US,2020-01-29,,,1,,,,"Washington, US",US,USWashington-43859.8125
0,-,Illinois,US,2020-01-29,,,1,,,,"Illinois, US",US,USIllinois-43859.8125
0,-,California,US,2020-01-29,,,2,,,,"California, US",US,USCalifornia-43859.8125
0,-,Arizona,US,2020-01-29,,,1,,,,"Arizona, US",US,USArizona-43859.8125
0,-,-,Japan,2020-01-29,,,7,,1,,Japan,JP,Japan-43859.8125
0,-,-,Thailand,2020-01-29,,,14,,5,,Thailand,TH,Thailand-43859.8125
0,-,-,South Korea,2020-01-29,,,4,,,,South Korea,KR,South Korea-43859.8125
0,-,-,Singapore,2020-01-29,,,7,,,,Singapore,SG,Singapore-43859.8125
0,-,-,Vietnam,2020-01-29,,,2,,,,Vietnam,VN,Vietnam-43859.8125
0,-,-,France,2020-01-29,,,5,,,,France,FR,France-43859.8125
0,-,-,Nepal,2020-01-29,,,1,,,,Nepal,NP,Nepal-43859.8125
0,-,-,Malaysia,2020-01-29,,,7,,,,Malaysia,MY,Malaysia-43859.8125
0,-,Ontario,Canada,2020-01-29,,,1,,,,"Ontario, Canada",CA,CanadaOntario-43859.8125
0,-,British Columbia,Canada,2020-01-29,,,1,,,,"British Columbia, Canada",CA,CanadaBritish Columbia-43859.8125
0,-,-,Cambodia,2020-01-29,,,1,,,,Cambodia,KH,Cambodia-43859.8125
0,-,-,Sri Lanka,2020-01-29,,,1,,,,Sri Lanka,LK,Sri Lanka-43859.8125
0,-,New South Wales,Australia,2020-01-29,,,4,,,,"New South Wales, Australia",AU,AustraliaNew South Wales-43859.8125
0,-,Victoria,Australia,2020-01-29,,,1,,,,"Victoria, Australia",AU,AustraliaVictoria-43859.8125
0,-,Bavaria,Germany,2020-01-29,,,4,,,,"Bavaria, Germany",DE,GermanyBavaria-43859.8125
0,-,-,Finland,2020-01-29,,,1,,,,Finland,FI,Finland43859.8125
0,-,-,United Arab Emirates,2020-01-29,,,4,,,,United Arab Emirates,AE,United Arab Emirates43859.8125
