FIPS,ADMIN2,PROVINCE_STATE,COUNTRY_REGION,LAST_UPDATE,LATITUDE,LONGITUDE,CONFIRMED,DEATHS,RECOVERED,ACTIVE,COMBINED_KEY,GEOID,RECORD_KEY
0,-,Hubei,China,2020-02-09T23:33:02,,,29631,871,1795,,"Hubei, China",CN,ChinaHubei-2020-02-09T23:33:02
0,-,Guangdong,China,2020-02-09T15:03:05,,,1131,1,141,,"Guangdong, China",CN,ChinaGuangdong-2020-02-09T15:03:05
0,-,Zhejiang,China,2020-02-09T12:03:04,,,1075,0,201,,"Zhejiang, China",CN,ChinaZhejiang-2020-02-09T12:03:04
0,-,Henan,China,2020-02-09T11:23:08,,,1033,6,153,,"Henan, China",CN,ChinaHenan-2020-02-09T11:23:08
0,-,Hunan,China,2020-02-09T12:33:01,,,838,1,186,,"Hunan, China",CN,ChinaHunan-2020-02-09T12:33:01
0,-,Anhui,China,2020-02-09T09:33:02,,,779,1,72,,"Anhui, China",CN,ChinaAnhui-2020-02-09T09:33:02
0,-,Jiangxi,China,2020-02-09T11:33:12,,,740,0,73,,"Jiangxi, China",CN,ChinaJiangxi-2020-02-09T11:33:12
0,-,Chongqing,China,2020-02-09T23:53:02,,,468,2,51,,"Chongqing, China",CN,ChinaChongqing-2020-02-09T23:53:02
0,-,Jiangsu,China,2020-02-09T10:23:11,,,468,0,71,,"Jiangsu, China",CN,ChinaJiangsu-2020-02-09T10:23:11
0,-,Shandong,China,2020-02-09T15:03:05,,,444,1,63,,"Shandong, China",CN,ChinaShandong-2020-02-09T15:03:05
0,-,Sichuan,China,2020-02-09T12:43:01,,,386,1,71,,"Sichuan, China",CN,ChinaSichuan-2020-02-09T12:43:01
0,-,Beijing,China,2020-02-09T03:43:02,,,326,2,37,,"Beijing, China",CN,ChinaBeijing-2020-02-09T03:43:02
0,-,Heilongjiang,China,2020-02-09T08:43:05,,,307,6,14,,"Heilongjiang, China",CN,ChinaHeilongjiang-2020-02-09T08:43:05
0,-,Shanghai,China,2020-02-09T06:33:01,,,293,1,44,,"Shanghai, China",CN,ChinaShanghai-2020-02-09T06:33:01
0,-,Fujian,China,2020-02-09T09:13:11,,,250,0,35,,"Fujian, China",CN,ChinaFujian-2020-02-09T09:13:11
0,-,Shaanxi,China,2020-02-09T03:03:09,,,208,0,25,,"Shaanxi, China",CN,ChinaShaanxi-2020-02-09T03:03:09
0,-,Hebei,China,2020-02-09T12:43:01,,,206,2,34,,"Hebei, China",CN,ChinaHebei-2020-02-09T12:43:01
0,-,Guangxi,China,2020-02-09T00:33:07,,,195,1,18,,"Guangxi, China",CN,ChinaGuangxi-2020-02-09T00:33:07
0,-,Yunnan,China,2020-02-09T08:53:02,,,141,0,18,,"Yunnan, China",CN,ChinaYunnan-2020-02-09T08:53:02
0,-,Hainan,China,2020-02-09T13:33:02,,,131,3,19,,"Hainan, China",CN,ChinaHainan-2020-02-09T13:33:02
0,-,Shanxi,China,2020-02-09T23:43:02,,,119,0,25,,"Shanxi, China",CN,ChinaShanxi-2020-02-09T23:43:02
0,-,Liaoning,China,2020-02-09T12:23:03,,,107,0,12,,"Liaoning, China",CN,ChinaLiaoning-2020-02-09T12:23:03
0,-,Guizhou,China,2020-02-09T09:53:02,,,99,1,7,,"Guizhou, China",CN,ChinaGuizhou-2020-02-09T09:53:02
0,-,Tianjin,China,2020-02-09T23:43:02,,,91,1,4,,"Tianjin, China",CN,ChinaTianjin-2020-02-09T23:43:02
0,-,Gansu,China,2020-02-09T23:33:02,,,83,2,16,,"Gansu, China",CN,ChinaGansu-2020-02-09T23:33:02
